Date,Iqamah_Fajr,Iqamah_Zuhr,Iqamah_Asr,Iqamah_Maghrib,Iqamah_Isha,Jumuah
7/2/2022,4:45 AM,1:15 PM,6:30 PM,8:35 PM,10:30 PM,1:15 PM
7/3/2022,4:45 AM,1:15 PM,6:30 PM,8:35 PM,10:30 PM,1:15 PM
7/4/2022,4:45 AM,1:15 PM,6:30 PM,8:35 PM,10:30 PM,1:15 PM
7/5/2022,4:45 AM,1:15 PM,6:30 PM,8:35 PM,10:30 PM,1:15 PM
7/6/2022,4:45 AM,1:15 PM,6:30 PM,8:35 PM,10:30 PM,1:15 PM
7/7/2022,4:45 AM,1:15 PM,6:30 PM,8:35 PM,10:30 PM,1:15 PM
7/8/2022,4:45 AM,1:15 PM,6:30 PM,8:35 PM,10:30 PM,1:15 PM
7/9/2022,4:45 AM,1:15 PM,6:30 PM,8:35 PM,10:30 PM,1:15 PM
7/10/2022,4:45 AM,1:15 PM,6:30 PM,8:35 PM,10:30 PM,1:15 PM
7/11/2022,4:45 AM,1:15 PM,6:30 PM,8:35 PM,10:30 PM,1:15 PM
7/12/2022,4:45 AM,1:15 PM,6:30 PM,8:30 PM,10:20 PM,1:15 PM
7/13/2022,4:45 AM,1:15 PM,6:30 PM,8:30 PM,10:20 PM,1:15 PM
7/14/2022,4:45 AM,1:15 PM,6:30 PM,8:30 PM,10:20 PM,1:15 PM
7/15/2022,4:45 AM,1:15 PM,6:30 PM,8:30 PM,10:20 PM,1:15 PM
7/16/2022,4:45 AM,1:15 PM,6:30 PM,8:30 PM,10:20 PM,1:15 PM
7/17/2022,4:45 AM,1:15 PM,6:30 PM,8:30 PM,10:20 PM,1:15 PM
7/18/2022,4:45 AM,1:15 PM,6:30 PM,8:30 PM,10:20 PM,1:15 PM
7/19/2022,4:45 AM,1:15 PM,6:30 PM,8:30 PM,10:20 PM,1:15 PM
7/20/2022,4:45 AM,1:15 PM,6:30 PM,8:30 PM,10:20 PM,1:15 PM
7/21/2022,4:45 AM,1:15 PM,6:30 PM,8:30 PM,10:20 PM,1:15 PM
7/22/2022,4:45 AM,1:15 PM,6:30 PM,8:25 PM,10:10 PM,1:15 PM
7/23/2022,4:45 AM,1:15 PM,6:30 PM,8:25 PM,10:10 PM,1:15 PM
7/24/2022,4:45 AM,1:15 PM,6:30 PM,8:25 PM,10:10 PM,1:15 PM
7/25/2022,4:45 AM,1:15 PM,6:30 PM,8:25 PM,10:10 PM,1:15 PM
7/26/2022,4:45 AM,1:15 PM,6:30 PM,8:25 PM,10:10 PM,1:15 PM
7/27/2022,5:00 AM,1:15 PM,6:15 PM,8:20 PM,10:10 PM,1:15 PM
7/28/2022,5:00 AM,1:15 PM,6:15 PM,8:20 PM,10:10 PM,1:15 PM
7/29/2022,5:00 AM,1:15 PM,6:15 PM,8:20 PM,10:10 PM,1:15 PM
7/30/2022,5:00 AM,1:15 PM,6:15 PM,8:20 PM,10:10 PM,1:15 PM
7/31/2022,5:00 AM,1:15 PM,6:15 PM,8:20 PM,10:10 PM,1:15 PM
8/1/2022,5:00 AM,1:15 PM,6:15 PM,8:20 PM,10:10 PM,1:15 PM
8/2/2022,5:00 AM,1:15 PM,6:15 PM,8:15 PM,10:00 PM,1:15 PM
8/3/2022,5:00 AM,1:15 PM,6:15 PM,8:15 PM,10:00 PM,1:15 PM
8/4/2022,5:00 AM,1:15 PM,6:15 PM,8:15 PM,10:00 PM,1:15 PM
8/5/2022,5:00 AM,1:15 PM,6:15 PM,8:15 PM,10:00 PM,1:15 PM
8/6/2022,5:00 AM,1:15 PM,6:15 PM,8:10 PM,10:00 PM,1:15 PM
8/7/2022,5:00 AM,1:15 PM,6:15 PM,8:10 PM,10:00 PM,1:15 PM
8/8/2022,5:00 AM,1:15 PM,6:15 PM,8:10 PM,10:00 PM,1:15 PM
8/9/2022,5:00 AM,1:15 PM,6:15 PM,8:10 PM,10:00 PM,1:15 PM
8/10/2022,5:15 AM,1:15 PM,6:15 PM,8:05 PM,9:45 PM,1:15 PM
8/11/2022,5:15 AM,1:15 PM,6:15 PM,8:05 PM,9:45 PM,1:15 PM
8/12/2022,5:15 AM,1:15 PM,6:15 PM,8:05 PM,9:45 PM,1:15 PM
8/13/2022,5:15 AM,1:15 PM,6:15 PM,8:05 PM,9:45 PM,1:15 PM
8/14/2022,5:15 AM,1:15 PM,6:15 PM,8:00 PM,9:45 PM,1:15 PM
8/15/2022,5:15 AM,1:15 PM,6:15 PM,8:00 PM,9:45 PM,1:15 PM
8/16/2022,5:15 AM,1:15 PM,6:15 PM,8:00 PM,9:45 PM,1:15 PM
8/17/2022,5:15 AM,1:15 PM,6:15 PM,8:00 PM,9:45 PM,1:15 PM
8/18/2022,5:15 AM,1:15 PM,6:15 PM,8:00 PM,9:45 PM,1:15 PM
8/19/2022,5:15 AM,1:15 PM,6:15 PM,8:00 PM,9:45 PM,1:15 PM
8/20/2022,5:15 AM,1:15 PM,6:15 PM,7:55 PM,9:30 PM,1:15 PM
8/21/2022,5:15 AM,1:15 PM,6:15 PM,7:55 PM,9:30 PM,1:15 PM
8/22/2022,5:15 AM,1:15 PM,6:15 PM,7:55 PM,9:30 PM,1:15 PM
8/23/2022,5:15 AM,1:15 PM,6:15 PM,7:55 PM,9:30 PM,1:15 PM
8/24/2022,5:15 AM,1:15 PM,6:15 PM,7:55 PM,9:30 PM,1:15 PM
8/25/2022,5:30 AM,1:15 PM,6:00 PM,7:45 PM,9:30 PM,1:15 PM
8/26/2022,5:30 AM,1:15 PM,6:00 PM,7:45 PM,9:30 PM,1:15 PM
8/27/2022,5:30 AM,1:15 PM,6:00 PM,7:45 PM,9:30 PM,1:15 PM
8/28/2022,5:30 AM,1:15 PM,6:00 PM,7:45 PM,9:30 PM,1:15 PM
8/29/2022,5:30 AM,1:15 PM,6:00 PM,7:40 PM,9:15 PM,1:15 PM
8/30/2022,5:30 AM,1:15 PM,6:00 PM,7:40 PM,9:15 PM,1:15 PM
8/31/2022,5:30 AM,1:15 PM,6:00 PM,7:40 PM,9:15 PM,1:15 PM
9/1/2022,5:30 AM,1:15 PM,6:00 PM,7:40 PM,9:15 PM,1:15 PM
9/2/2022,5:30 AM,1:15 PM,6:00 PM,7:35 PM,9:15 PM,1:15 PM
9/3/2022,5:30 AM,1:15 PM,6:00 PM,7:35 PM,9:15 PM,1:15 PM
9/4/2022,5:30 AM,1:15 PM,5:45 PM,7:30 PM,9:15 PM,1:15 PM
9/5/2022,5:30 AM,1:15 PM,5:45 PM,7:30 PM,9:15 PM,1:15 PM
9/6/2022,5:30 AM,1:15 PM,5:45 PM,7:30 PM,9:15 PM,1:15 PM
9/7/2022,5:30 AM,1:15 PM,5:45 PM,7:25 PM,9:00 PM,1:15 PM
9/8/2022,5:30 AM,1:15 PM,5:45 PM,7:25 PM,9:00 PM,1:15 PM
9/9/2022,5:30 AM,1:15 PM,5:45 PM,7:25 PM,9:00 PM,1:15 PM
9/10/2022,5:45 AM,1:15 PM,5:45 PM,7:20 PM,9:00 PM,1:15 PM
9/11/2022,5:45 AM,1:15 PM,5:45 PM,7:20 PM,9:00 PM,1:15 PM
9/12/2022,5:45 AM,1:15 PM,5:45 PM,7:20 PM,9:00 PM,1:15 PM
9/13/2022,5:45 AM,1:15 PM,5:45 PM,7:15 PM,9:00 PM,1:15 PM
9/14/2022,5:45 AM,1:15 PM,5:45 PM,7:15 PM,9:00 PM,1:15 PM
9/15/2022,5:45 AM,1:15 PM,5:45 PM,7:15 PM,9:00 PM,1:15 PM
9/16/2022,5:45 AM,1:15 PM,5:30 PM,7:10 PM,8:45 PM,1:15 PM
9/17/2022,5:45 AM,1:15 PM,5:30 PM,7:10 PM,8:45 PM,1:15 PM
9/18/2022,5:45 AM,1:15 PM,5:30 PM,7:10 PM,8:45 PM,1:15 PM
9/19/2022,5:45 AM,1:15 PM,5:30 PM,7:05 PM,8:45 PM,1:15 PM
9/20/2022,5:45 AM,1:15 PM,5:30 PM,7:05 PM,8:45 PM,1:15 PM
9/21/2022,5:45 AM,1:15 PM,5:30 PM,7:05 PM,8:45 PM,1:15 PM
9/22/2022,5:45 AM,1:15 PM,5:30 PM,7:00 PM,8:45 PM,1:15 PM
9/23/2022,5:45 AM,1:15 PM,5:30 PM,7:00 PM,8:45 PM,1:15 PM
9/24/2022,5:45 AM,1:15 PM,5:30 PM,7:00 PM,8:45 PM,1:15 PM
9/25/2022,5:45 AM,1:15 PM,5:30 PM,6:55 PM,8:30 PM,1:15 PM
9/26/2022,5:45 AM,1:15 PM,5:30 PM,6:55 PM,8:30 PM,1:15 PM
9/27/2022,5:45 AM,1:15 PM,5:30 PM,6:55 PM,8:30 PM,1:15 PM
9/28/2022,6:00 AM,1:15 PM,5:15 PM,6:50 PM,8:30 PM,1:15 PM
9/29/2022,6:00 AM,1:15 PM,5:15 PM,6:50 PM,8:30 PM,1:15 PM
9/30/2022,6:00 AM,1:15 PM,5:15 PM,6:50 PM,8:30 PM,1:15 PM
10/1/2022,6:00 AM,1:15 PM,5:15 PM,6:50 PM,8:30 PM,1:15 PM
10/2/2022,6:00 AM,1:15 PM,5:15 PM,6:45 PM,8:30 PM,1:15 PM
10/3/2022,6:00 AM,1:15 PM,5:15 PM,6:45 PM,8:30 PM,1:15 PM
10/4/2022,6:00 AM,1:15 PM,5:15 PM,6:40 PM,8:15 PM,1:15 PM
10/5/2022,6:00 AM,1:15 PM,5:15 PM,6:40 PM,8:15 PM,1:15 PM
10/6/2022,6:00 AM,1:15 PM,5:15 PM,6:40 PM,8:15 PM,1:15 PM
10/7/2022,6:00 AM,1:15 PM,5:15 PM,6:40 PM,8:15 PM,1:15 PM
10/8/2022,6:00 AM,1:15 PM,5:00 PM,6:35 PM,8:15 PM,1:15 PM
10/9/2022,6:00 AM,1:15 PM,5:00 PM,6:35 PM,8:15 PM,1:15 PM
10/10/2022,6:00 AM,1:15 PM,5:00 PM,6:35 PM,8:15 PM,1:15 PM
10/11/2022,6:00 AM,1:15 PM,5:00 PM,6:30 PM,8:15 PM,1:15 PM
10/12/2022,6:00 AM,1:15 PM,5:00 PM,6:30 PM,8:15 PM,1:15 PM
10/13/2022,6:00 AM,1:15 PM,5:00 PM,6:30 PM,8:15 PM,1:15 PM
10/14/2022,6:15 AM,1:15 PM,5:00 PM,6:25 PM,8:00 PM,1:15 PM
10/15/2022,6:15 AM,1:15 PM,5:00 PM,6:25 PM,8:00 PM,1:15 PM
10/16/2022,6:15 AM,1:15 PM,5:00 PM,6:25 PM,8:00 PM,1:15 PM
10/17/2022,6:15 AM,1:15 PM,5:00 PM,6:20 PM,8:00 PM,1:15 PM
10/18/2022,6:15 AM,1:15 PM,5:00 PM,6:20 PM,8:00 PM,1:15 PM
10/19/2022,6:15 AM,1:15 PM,5:00 PM,6:20 PM,8:00 PM,1:15 PM
10/20/2022,6:15 AM,1:15 PM,5:00 PM,6:20 PM,8:00 PM,1:15 PM
10/21/2022,6:15 AM,1:15 PM,4:45 PM,6:15 PM,8:00 PM,1:15 PM
10/22/2022,6:15 AM,1:15 PM,4:45 PM,6:15 PM,8:00 PM,1:15 PM
10/23/2022,6:15 AM,1:15 PM,4:45 PM,6:15 PM,8:00 PM,1:15 PM
10/24/2022,6:15 AM,1:15 PM,4:45 PM,6:10 PM,7:45 PM,1:15 PM
10/25/2022,6:15 AM,1:15 PM,4:45 PM,6:10 PM,7:45 PM,1:15 PM
10/26/2022,6:15 AM,1:15 PM,4:45 PM,6:10 PM,7:45 PM,1:15 PM
10/27/2022,6:15 AM,1:15 PM,4:45 PM,6:10 PM,7:45 PM,1:15 PM
10/28/2022,6:15 AM,1:15 PM,4:45 PM,6:05 PM,7:45 PM,1:15 PM
10/29/2022,6:15 AM,1:15 PM,4:45 PM,6:05 PM,7:45 PM,1:15 PM
10/30/2022,6:15 AM,1:15 PM,4:45 PM,6:05 PM,7:45 PM,1:15 PM
10/31/2022,6:15 AM,1:15 PM,4:45 PM,6:05 PM,7:45 PM,1:15 PM
11/1/2022,6:15 AM,1:15 PM,4:45 PM,6:05 PM,7:45 PM,1:15 PM
11/2/2022,6:15 AM,1:15 PM,4:45 PM,6:00 PM,7:45 PM,1:15 PM
11/3/2022,6:15 AM,1:15 PM,4:45 PM,6:00 PM,7:45 PM,1:15 PM
11/4/2022,6:15 AM,1:15 PM,4:45 PM,6:00 PM,7:45 PM,1:15 PM
11/5/2022,6:15 AM,1:15 PM,4:45 PM,6:00 PM,7:45 PM,1:15 PM
11/6/2022,6:15 AM,1:15 PM,4:45 PM,6:00 PM,7:45 PM,1:15 PM
11/7/2022,6:15 AM,1:15 PM,4:45 PM,6:00 PM,7:45 PM,1:15 PM
11/8/2022,5:45 AM,1:15 PM,3:45 PM,4:55 PM,6:45 PM,1:15 PM
11/9/2022,5:45 AM,1:15 PM,3:45 PM,4:55 PM,6:45 PM,1:15 PM
11/10/2022,5:45 AM,1:15 PM,3:45 PM,4:50 PM,6:45 PM,1:15 PM
11/11/2022,5:45 AM,1:15 PM,3:45 PM,4:50 PM,6:45 PM,1:15 PM
11/12/2022,5:45 AM,1:15 PM,3:45 PM,4:50 PM,6:45 PM,1:15 PM
11/13/2022,5:45 AM,1:15 PM,3:45 PM,4:50 PM,6:45 PM,1:15 PM
11/14/2022,5:45 AM,1:15 PM,3:45 PM,4:50 PM,6:45 PM,1:15 PM
11/15/2022,5:45 AM,1:15 PM,3:45 PM,4:50 PM,6:45 PM,1:15 PM
11/16/2022,5:45 AM,1:15 PM,3:45 PM,4:45 PM,6:45 PM,1:15 PM
11/17/2022,5:45 AM,1:15 PM,3:45 PM,4:45 PM,6:45 PM,1:15 PM
11/18/2022,5:45 AM,1:15 PM,3:45 PM,4:45 PM,6:45 PM,1:15 PM
11/19/2022,5:45 AM,1:15 PM,3:45 PM,4:45 PM,6:45 PM,1:15 PM
11/20/2022,5:45 AM,1:15 PM,3:45 PM,4:45 PM,6:45 PM,1:15 PM
11/21/2022,5:45 AM,1:15 PM,3:45 PM,4:45 PM,6:45 PM,1:15 PM
11/22/2022,5:45 AM,1:15 PM,3:45 PM,4:45 PM,6:45 PM,1:15 PM
11/23/2022,6:00 AM,1:15 PM,3:45 PM,4:40 PM,6:45 PM,1:15 PM
11/24/2022,6:00 AM,1:15 PM,3:45 PM,4:40 PM,6:45 PM,1:15 PM
11/25/2022,6:00 AM,1:15 PM,3:45 PM,4:40 PM,6:45 PM,1:15 PM
11/26/2022,6:00 AM,1:15 PM,3:45 PM,4:40 PM,6:45 PM,1:15 PM
11/27/2022,6:00 AM,1:15 PM,3:45 PM,4:40 PM,6:45 PM,1:15 PM
11/28/2022,6:00 AM,1:15 PM,3:45 PM,4:40 PM,6:45 PM,1:15 PM
11/29/2022,6:00 AM,1:15 PM,3:45 PM,4:40 PM,6:45 PM,1:15 PM
11/30/2022,6:00 AM,1:15 PM,3:45 PM,4:40 PM,6:45 PM,1:15 PM
12/1/2022,6:00 AM,1:15 PM,3:45 PM,4:40 PM,6:45 PM,1:15 PM
12/2/2022,6:00 AM,1:15 PM,3:45 PM,4:40 PM,6:45 PM,1:15 PM
12/3/2022,6:00 AM,1:15 PM,3:45 PM,4:40 PM,6:45 PM,1:15 PM
12/4/2022,6:15 AM,1:15 PM,3:45 PM,4:40 PM,6:45 PM,1:15 PM
12/5/2022,6:15 AM,1:15 PM,3:45 PM,4:40 PM,6:45 PM,1:15 PM
12/6/2022,6:15 AM,1:15 PM,3:45 PM,4:40 PM,6:45 PM,1:15 PM
12/7/2022,6:15 AM,1:15 PM,3:45 PM,4:40 PM,6:45 PM,1:15 PM
12/8/2022,6:15 AM,1:15 PM,3:45 PM,4:40 PM,6:45 PM,1:15 PM
12/9/2022,6:15 AM,1:15 PM,3:45 PM,4:40 PM,6:45 PM,1:15 PM
12/10/2022,6:15 AM,1:15 PM,3:45 PM,4:40 PM,6:45 PM,1:15 PM
12/11/2022,6:15 AM,1:15 PM,3:45 PM,4:40 PM,6:45 PM,1:15 PM
12/12/2022,6:15 AM,1:15 PM,3:45 PM,4:40 PM,6:45 PM,1:15 PM
12/13/2022,6:15 AM,1:15 PM,3:45 PM,4:40 PM,6:45 PM,1:15 PM
12/14/2022,6:15 AM,1:15 PM,3:45 PM,4:40 PM,6:45 PM,1:15 PM
12/15/2022,6:15 AM,1:15 PM,3:45 PM,4:40 PM,6:45 PM,1:15 PM
12/16/2022,6:15 AM,1:15 PM,3:45 PM,4:40 PM,6:45 PM,1:15 PM
12/17/2022,6:15 AM,1:15 PM,3:45 PM,4:40 PM,6:45 PM,1:15 PM
12/18/2022,6:15 AM,1:15 PM,3:45 PM,4:40 PM,6:45 PM,1:15 PM
12/19/2022,6:15 AM,1:15 PM,3:45 PM,4:40 PM,6:45 PM,1:15 PM
12/20/2022,6:15 AM,1:15 PM,3:45 PM,4:40 PM,6:45 PM,1:15 PM
12/21/2022,6:15 AM,1:15 PM,3:45 PM,4:40 PM,6:45 PM,1:15 PM
12/22/2022,6:15 AM,1:15 PM,3:45 PM,4:40 PM,6:45 PM,1:15 PM
12/23/2022,6:15 AM,1:15 PM,3:45 PM,4:40 PM,6:45 PM,1:15 PM
12/24/2022,6:15 AM,1:15 PM,3:45 PM,4:45 PM,6:45 PM,1:15 PM
12/25/2022,6:15 AM,1:15 PM,3:45 PM,4:45 PM,6:45 PM,1:15 PM
12/26/2022,6:15 AM,1:15 PM,3:45 PM,4:45 PM,6:45 PM,1:15 PM
12/27/2022,6:15 AM,1:15 PM,3:45 PM,4:45 PM,6:45 PM,1:15 PM
12/28/2022,6:15 AM,1:15 PM,3:45 PM,4:45 PM,6:45 PM,1:15 PM
12/29/2022,6:15 AM,1:15 PM,3:45 PM,4:45 PM,6:45 PM,1:15 PM
12/30/2022,6:15 AM,1:15 PM,3:45 PM,4:45 PM,6:45 PM,1:15 PM
12/31/2022,6:15 AM,1:15 PM,3:45 PM,4:45 PM,6:45 PM,1:15 PM
,,,,,,